x_mole,y_mole,t_C,x_mass,y_mass
4e-05,0.00053,99.9,0.0001,0.0013
0.0004,0.0051,99.8,0.001,0.013
0.00055,0.0077,99.7,0.0015,0.0195
0.0008,0.0103,99.6,0.002,0.026
0.0012,0.0157,99.5,0.003,0.038
0.0016,0.0198,99.4,0.004,0.049
0.0019,0.0248,99.3,0.005,0.061
0.0023,0.029,99.2,0.006,0.071
0.0027,0.0333,99.1,0.007,0.081
0.0031,0.03725,99.0,0.008,0.09
0.0035,0.0412,98.9,0.009,0.099
0.0039,0.042,98.75,0.01,0.101
0.0075,0.0876,97.65,0.02,0.197
0.0119,0.1275,96.65,0.03,0.272
0.0161,0.1634,95.8,0.04,0.333
0.0201,0.1868,94.95,0.05,0.37
0.0243,0.2145,94.15,0.06,0.41
0.0286,0.2396,93.35,0.07,0.446
0.0329,0.2621,92.6,0.08,0.476
0.0373,0.2812,91.9,0.09,0.5
0.0416,0.2992,91.3,0.1,0.522
0.0461,0.3156,90.8,0.11,0.541
0.0507,0.3306,90.5,0.12,0.558
0.0551,0.3451,89.7,0.13,0.574
0.0598,0.3583,89.2,0.14,0.588
0.0646,0.3698,89.0,0.15,0.6
0.0686,0.3806,88.3,0.16,0.611
0.0741,0.3916,87.9,0.17,0.622
0.0795,0.4018,87.7,0.18,0.632
0.0841,0.4127,87.4,0.19,0.643
0.0892,0.4209,87.0,0.2,0.65
0.0942,0.4294,86.7,0.21,0.658
0.0993,0.4382,86.4,0.22,0.666
0.1048,0.4461,86.2,0.23,0.673
0.11,0.4541,85.95,0.24,0.68
0.1153,0.4608,85.7,0.25,0.686
0.1208,0.469,85.4,0.26,0.693
0.1264,0.4749,85.2,0.27,0.698
0.1319,0.4808,85.0,0.28,0.703
0.1377,0.4868,84.8,0.29,0.708
0.1435,0.493,84.7,0.3,0.713
0.1495,0.4977,84.5,0.31,0.717
0.1555,0.5027,84.3,0.32,0.721
0.1615,0.5078,84.2,0.33,0.725
0.1677,0.5127,83.85,0.34,0.729
0.1741,0.5167,83.75,0.35,0.7375
0.1803,0.5204,83.7,0.36,0.735
0.1868,0.5243,83.5,0.37,0.738
0.1937,0.5268,83.4,0.38,0.74
0.2,0.5309,83.3,0.39,0.743
0.2068,0.5346,83.1,0.4,0.746
0.2138,0.5376,82.95,0.41,0.748
0.2207,0.5412,82.78,0.42,0.751
0.2278,0.5454,82.65,0.43,0.754
0.2351,0.548,82.5,0.44,0.756
0.2425,0.5522,82.45,0.45,0.759
0.25,0.5548,82.35,0.46,0.761
0.2575,0.5574,82.3,0.47,0.763
0.2653,0.5603,82.15,0.48,0.765
0.2732,0.5644,82.0,0.49,0.768
0.2812,0.5671,81.9,0.5,0.77
0.2893,0.5712,81.8,0.51,0.773
0.298,0.5741,81.7,0.52,0.775
0.3061,0.577,81.6,0.53,0.777
0.3147,0.5811,81.5,0.54,0.78
0.3234,0.5839,81.4,0.55,0.782
0.3324,0.5878,81.3,0.56,0.785
0.3416,0.591,81.25,0.57,0.787
0.3509,0.595,81.2,0.58,0.79
0.3602,0.5984,81.1,0.59,0.792
0.3698,0.6029,81.0,0.6,0.795
0.3797,0.6058,80.95,0.61,0.797
0.3895,0.6102,80.85,0.62,0.8
0.4,0.6144,80.75,0.63,0.803
0.4102,0.6161,80.65,0.64,0.805
0.4209,0.6222,80.6,0.65,0.808
0.4427,0.6299,80.45,0.67,0.813
0.4541,0.6343,80.4,0.68,0.816
0.4655,0.6391,80.3,0.69,0.819
0.4774,0.6421,80.2,0.7,0.821
0.4892,0.647,80.1,0.71,0.824
0.5016,0.6534,80.0,0.72,0.828
0.5139,0.6581,79.95,0.73,0.831
0.5268,0.6628,79.85,0.74,0.834
0.54,0.6692,79.75,0.75,0.838
0.5534,0.6742,79.72,0.76,0.841
0.5671,0.6807,79.7,0.77,0.845
0.5811,0.6876,79.65,0.78,0.849
0.5955,0.6959,79.55,0.79,0.854
0.6102,0.7029,79.5,0.8,0.858
0.6252,0.7063,79.4,0.81,0.86
0.6405,0.7186,79.3,0.82,0.867
0.6564,0.7271,79.2,0.83,0.872
0.6727,0.7361,79.1,0.84,0.877
0.6892,0.7469,78.95,0.85,0.883
0.7063,0.7582,78.85,0.86,0.889
0.7236,0.7693,78.75,0.87,0.895
0.7415,0.78,78.65,0.88,0.901
0.7599,0.7926,78.6,0.89,0.907
0.7788,0.8042,78.5,0.9,0.913
0.7982,0.8183,78.4,0.91,0.92
0.8183,0.8326,78.3,0.92,0.927
0.8387,0.8491,78.27,0.93,0.935
0.8597,0.864,78.2,0.94,0.942
0.8813,0.8813,78.177,0.95,0.9505
0.8941,0.8941,78.15,0.9557,0.9557
